ax,ay,az,gx,gy,gz
0.0000,0.0000.1,4.5129,18.13,-12.04,7.49
0.6796,-0.1436,9.6574,265.23,-32.83,-19.88
0.6269,-0.2584,9.7675,0.21,2.45,0.14
0.6078,-0.1962,9.9063,0.77,2.73,0.0
0.5934,-0.2154,9.9063,0.07,1.05,-0.98
0.6078,-0.1771,9.8776,0.35,1.47,-1.12
0.6173,-0.1196,9.868,0.91,0.98,-0.21
0.6556,-0.0861,9.8632,0.84,1.05,-0.56
0.6604,-0.1244,9.8441,0.98,0.84,-0.35
0.6987,-0.0814,9.6048,2.24,1.26,-0.07
0.6748,-0.1579,9.7531,1.05,2.45,0.42
0.6173,-0.2345,9.935,2.31,2.66,0.98
0.6652,-0.2441,9.5713,0.49,2.45,-0.14
0.6461,-0.268,9.6096,-0.35,3.36,-0.63
0.6317,-0.3733,9.7579,1.96,4.48,-0.07
0.6796,-0.3254,9.2172,0.84,4.83,-2.03
0.6317,-0.0957,9.2698,4.55,10.5,-1.05
0.5838,-0.2154,9.1645,6.79,12.53,-2.73
0.536,-0.1675,9.1549,9.8,16.73,-1.47
0.4403,-0.1388,8.6668,8.12,19.39,-4.62
0.6173,0.8997,8.351,9.45,31.64,-5.32
0.7083,1.3878,9.2985,3.92,33.18,0.21
0.5934,1.1916,8.7051,-3.5,34.79,4.27
0.3637,1.7372,8.4562,-5.81,52.78,3.15
0.3685,2.9288,9.9924,-18.2,56.07,7.56
0.4307,3.7998,9.6,-30.94,58.59,17.99
-0.1388,3.1442,11.0883,-27.51,66.99,35.49
-0.5025,2.857,11.6195,-33.95,61.25,39.34
-0.5886,3.2303,12.2895,-38.57,59.71,51.94
-1.0241,2.8092,13.017,-56.91,52.64,57.26
-1.7755,2.3402,12.7681,-82.25,52.92,71.4
-2.9575,2.7182,14.0459,-147.14,70.56,96.11
-3.1059,3.46,18.3099,-166.32,-15.75,128.17
-5.001,-3.2495,13.4907,-108.57,-55.16,133.7
-5.4174,-6.7717,15.2423,-70.63,-59.71,89.11
-4.8766,-6.4271,16.6493,-77.91,-123.34,59.64
-3.9673,-5.5178,11.9689,-75.25,-129.08,48.09
-3.1777,-6.3027,12.1795,-94.99,-132.51,31.71
-2.6321,-7.3125,11.0357,-108.85,-150.22,13.02
-1.7707,-6.3458,6.4223,-130.48,-142.17,-5.81
-0.9284,-7.1593,6.9631,-134.89,-122.57,-14.77
-0.1723,-6.1639,6.8578,-135.31,-112.35,-18.41
0.0431,-7.1402,5.7763,-111.86,-108.36,-21.98
0.3254,-8.1595,5.6806,-97.72,-100.24,-33.53
0.6078,-7.9777,3.8907,-92.19,-92.47,-45.57
0.9476,-8.5424,2.6895,-78.82,-67.97,-57.26
1.1916,-7.7862,3.1968,-69.3,-61.67,-68.32
1.3113,-7.8676,2.6656,-53.97,-46.06,-78.82
1.3448,-7.4895,3.8524,-19.95,-29.33,-76.51
1.1629,-7.8963,5.9438,-5.88,-32.76,-88.83
1.0481,-8.3797,5.403,-10.71,-42.0,-113.68
1.5553,-6.2692,4.1779,-15.89,-28.7,-123.69
1.9095,-4.8814,4.7952,-5.39,-15.82,-113.12
1.8808,-6.475,5.5418,10.01,-6.09,-108.78
1.9813,-7.279,6.3841,12.81,-9.1,-126.21
2.5364,-4.9005,4.5464,15.26,-12.46,-136.22
2.9815,-4.6134,4.5368,23.87,-2.1,-136.01
3.4265,-3.8907,4.4459,27.65,6.23,-147.35
4.0534,-1.6798,4.0582,26.18,14.35,-132.93
4.2018,-2.0674,4.8335,22.19,28.63,-116.2
4.2209,-2.077,4.5416,25.76,53.13,-115.64
4.264,-1.1581,4.398,28.49,44.73,-111.16
4.1348,-0.6413,4.3837,33.74,63.63,-104.86
3.9434,-0.4164,5.6614,41.37,72.31,-88.97
3.8237,-0.4834,6.3458,44.66,72.52,-90.93
3.7376,-0.6173,6.3601,48.86,72.52,-93.24
3.9147,1.0098,5.9246,47.88,77.63,-91.21
3.862,1.9286,6.0921,54.32,88.76,-75.74
3.5414,1.3974,5.6997,48.23,93.8,-74.97
3.5988,3.6275,7.2024,34.72,98.84,-62.16
3.082,3.2447,7.0875,27.09,107.03,-43.33
2.7996,3.1107,7.858,21.49,111.93,-38.71
2.8283,3.9051,9.0018,9.52,114.03,-30.38
2.3641,3.9769,10.2174,7.49,117.53,-9.59
1.7755,3.3595,12.3565,13.02,108.01,5.11
1.3639,2.9384,10.9926,17.71,90.86,11.2
1.4836,2.4215,9.9494,19.04,89.11,8.75
1.8568,3.2207,9.3224,17.92,94.71,17.92
1.6367,3.7184,10.27,17.99,99.26,30.03
0.9619,3.0676,10.6528,13.16,85.68,36.33
0.938,3.5318,10.0307,15.82,87.22,45.99
0.7131,2.747,10.9974,16.66,93.73,53.9
-0.5791,6.4463,12.0407,93.38,136.22,80.64
-0.1914,6.2261,10.0403,31.43,65.24,65.73
-0.5551,4.5703,12.0933,16.45,85.47,97.3
-0.8518,4.5846,12.2369,3.5,86.59,107.31
-0.9141,4.8287,12.5671,-9.66,75.04,120.54
-1.206,6.5563,11.9833,-32.55,82.67,160.86
-2.0435,4.6421,16.0654,-80.92,61.74,193.13
-2.9623,0.8662,14.9886,-129.92,41.02,192.5
-3.7567,-1.2395,18.1855,-185.78,23.24,193.9
-5.1733,-5.1159,20.6596,-200.48,-45.71,174.79
-5.7763,-10.5428,16.788,-136.5,-117.53,114.45
-4.4267,-8.6572,13.6965,-81.06,-111.93,56.07
-3.1011,-6.6185,15.2327,-52.71,-130.9,38.85
-2.4694,-6.3027,12.4522,-36.19,-150.36,27.86
-2.2397,-6.9296,10.605,-26.18,-145.04,8.05
-1.5745,-5.7284,9.8249,-28.0,-136.78,-10.78
-0.9284,-6.2357,6.5324,-57.33,-134.05,-28.28
-0.1149,-3.7567,5.5322,-70.91,-107.73,-50.26
0.8088,-3.2447,4.5799,-60.27,-91.63,-50.96
1.7563,-1.2778,2.814,-35.63,-73.71,-38.78
2.3689,-1.3735,0.6843,-8.75,-46.55,-21.91
2.5986,-1.6558,0.3829,-0.35,9.24,-13.23
2.5651,-1.3783,3.9434,-3.36,26.32,-2.31
2.3785,-1.919,5.3551,-9.94,31.29,2.94
2.1392,-2.1009,5.6806,-9.52,34.93,7.28
1.7563,-3.0628,6.9392,-0.49,38.78,6.09
1.8568,-3.0772,8.1595,5.18,31.5,-0.77
2.0483,-2.9336,7.8915,11.62,30.31,-2.03
2.1679,-2.8666,8.8439,13.37,31.78,-2.59
2.1631,-2.6656,9.5426,15.19,26.04,-1.75
2.187,-2.4359,10.1073,15.4,22.54,-0.56
2.2445,-2.5795,10.3561,16.87,16.59,1.75
2.1583,-2.8475,10.3705,16.24,14.21,0.84
2.0961,-2.6369,10.4327,13.65,12.11,0.0
2.01,-3.0341,10.7773,11.62,10.85,-0.91
1.9813,-2.8092,10.7533,10.29,6.09,-2.8
1.9382,-2.5555,10.5571,8.54,1.68,-2.17
1.943,-2.5555,10.4375,6.16,2.17,-2.59
1.919,-2.4072,10.3848,3.29,0.63,-0.7
1.8568,-2.6512,9.9781,0.0,-0.07,-1.75
1.7276,-3.192,10.0403,-1.61,-0.42,-4.97
1.809,-3.0197,9.9494,-3.01,-5.39,-10.71
1.9956,-2.3976,9.1454,2.1,-7.07,-6.79
2.0674,-2.5651,9.0497,1.4,-1.54,-5.04
1.986,-2.9097,9.5474,3.85,-1.61,-7.42
2.0865,-2.3498,9.0832,5.88,-2.8,-7.14
2.0148,-2.7948,8.8869,5.74,0.49,-6.72
2.0243,-2.3976,9.332,3.5,1.61,-8.68
1.7085,-3.3021,9.1597,4.9,3.85,-6.23
1.5362,-3.8477,10.1264,8.12,2.66,-18.9
1.9334,-2.68,10.1647,12.95,-5.74,-26.95
2.2732,-1.6989,9.4277,15.4,-9.1,-19.74
2.1535,-2.9145,8.8295,10.22,-0.14,-17.64
1.9382,-3.1202,10.9161,12.11,-0.56,-23.59
2.0291,-2.8187,10.9735,15.82,-14.0,-24.29
2.254,-2.2158,9.9446,14.63,-18.27,-27.02
2.5842,-1.4261,8.7434,21.0,-15.54,-26.53
2.9097,-0.1723,7.7862,22.68,-5.39,-18.41
2.9623,-0.0861,7.9298,12.95,3.57,-7.0
2.7613,-0.5264,8.4419,8.4,10.08,2.66
2.7182,-0.5264,8.327,3.78,11.2,6.51
2.613,-1.0098,8.2744,-5.04,16.8,10.64
2.2732,-1.6558,9.6574,-6.02,21.98,11.34
2.1248,-1.7994,9.8297,-5.25,13.09,8.4
2.0913,-2.2971,10.0259,-1.26,11.76,8.68
2.053,-2.4742,10.3179,-0.42,7.56,4.76
2.1009,-2.3928,10.0546,-1.26,1.47,1.75
2.2158,-2.0148,9.5809,0.07,0.35,1.68
2.3019,-1.9143,9.3655,0.91,2.45,2.1
2.3163,-1.6989,9.3129,1.33,5.25,3.71
2.2253,-1.541,9.533,-1.33,6.72,5.74
2.278,-1.1868,9.2267,-5.88,9.66,8.75
2.1009,-1.6175,9.7531,-8.33,11.2,13.44
2.0291,-1.9621,10.0164,-9.8,11.9,10.85
2.12,-1.852,9.9589,-11.27,10.29,12.39
2.0148,-2.2158,10.2939,-12.18,11.34,14.7
1.8808,-3.6658,10.9304,-11.27,5.6,13.16
2.1631,-2.5029,11.0453,-11.48,-2.24,9.45
2.2493,-1.9908,10.4949,-14.21,-1.96,15.68
1.943,-3.2351,11.3659,-21.42,-2.94,14.35
1.852,-3.5127,11.9593,-25.13,-13.02,7.07
1.8855,-3.1107,11.5956,-27.02,-19.46,7.49
1.7276,-3.7089,11.1458,-34.51,-20.72,5.53
1.474,-4.9053,12.2991,-38.57,-31.29,-0.14
1.517,-4.7521,11.7057,-41.3,-43.61,-10.15
1.5505,-4.8957,10.8347,-41.3,-44.38,-12.81
1.5123,-5.9581,10.7916,-50.54,-51.87,-25.62
1.5793,-5.2307,10.3226,-38.92,-60.76,-31.78
1.5888,-5.7045,9.4134,-34.58,-64.05,-38.71
1.7755,-6.0921,8.6094,-28.91,-66.22,-49.42
2.1344,-5.2164,7.5852,-22.19,-64.61,-57.33
2.3593,-5.3839,6.6185,-16.52,-63.0,-63.21
2.345,-6.14,5.5083,-20.58,-51.17,-79.03
2.723,-4.4459,5.7236,-16.1,-42.14,-87.85
2.948,-4.5416,4.4985,-9.38,-32.2,-84.7
3.125,-4.3884,4.3693,-6.72,-15.89,-92.12
3.4217,-3.5318,4.599,-3.99,-11.76,-96.11
3.5892,-3.5462,4.3597,3.01,1.68,-96.74
3.5079,-3.2064,4.2975,11.97,16.87,-98.42
3.6802,-2.6225,5.4174,19.11,22.4,-105.98
3.929,-1.4166,5.3169,25.76,26.46,-102.9
3.8094,-0.3541,4.7091,26.67,35.49,-100.73
3.4648,-0.3302,5.738,33.46,49.56,-91.98
3.216,0.3015,6.4893,39.76,51.24,-90.58
3.2207,1.2538,5.8624,46.34,56.21,-85.26
3.0915,1.9573,5.7811,50.12,62.02,-75.39
3.0676,2.8331,5.7858,44.52,71.12,-70.7
3.0197,3.4313,5.9294,34.02,82.6,-58.38
2.7517,3.7759,6.408,20.44,93.73,-44.24
2.3976,3.4792,7.4656,14.28,99.89,-30.59
1.9525,3.0867,7.3795,6.86,110.39,-20.58
1.2778,1.9813,8.7912,4.62,115.43,-14.49
1.1055,1.9717,7.8772,11.69,125.65,-19.11
0.8997,2.6752,7.4704,19.25,134.82,-19.18
0.4977,4.6277,12.0838,21.07,141.68,-0.21
0.0,3.1107,9.3033,16.17,120.4,7.0
-0.0814,3.8285,10.3226,3.99,130.55,16.24
-0.2297,3.1298,9.7866,-8.96,128.1,23.1
-1.1533,5.0058,12.0263,4.62,134.47,37.45
-1.5649,2.881,13.218,7.07,111.3,61.39
-2.1583,1.8233,14.1559,-0.14,95.27,56.77
-2.412,4.5176,15.0221,-4.13,65.87,67.41
-2.589,5.2116,12.9117,-12.18,39.69,80.43
-2.455,5.2642,12.0838,-20.65,46.13,101.36
-2.8714,4.9771,13.4285,-10.01,44.87,137.13
-3.1442,2.3737,13.4572,-3.71,24.43,143.85
-3.0197,-0.3972,11.1984,-44.94,19.11,124.46
-2.7182,0.7848,12.9595,-90.51,31.22,114.17
-3.2064,-1.9717,16.7019,-88.2,13.44,117.04
-2.6704,2.1918,10.6289,-84.63,-11.34,121.45
-3.3882,-1.2586,15.1657,-87.85,-24.15,141.33
-3.9673,-6.7478,13.663,-90.23,-59.36,106.96
-2.479,-3.6706,10.1934,-107.66,-70.63,71.96
-1.7563,-0.5838,10.7581,-99.47,-60.06,90.79
-2.1057,-1.474,12.792,-49.21,-66.29,120.68
-2.4168,-2.2636,12.0263,-33.81,-78.19,128.73
-2.9767,-6.944,11.6483,-52.85,-84.77,110.18
-3.1011,-9.0066,11.8349,-83.09,-70.77,48.58
-1.9956,-4.7761,13.1892,-86.17,-90.58,27.23
-1.718,-5.1302,11.0883,-65.8,-98.77,27.65
-1.474,-6.1687,10.1551,-45.57,-97.86,15.33
-1.5123,-7.1067,10.2221,-35.14,-97.86,-2.87
-1.0576,-6.1687,9.9398,-28.77,-95.06,-25.06
-0.7657,-6.0826,8.9683,-24.92,-95.83,-34.23
-0.7992,-7.4369,8.059,-18.27,-89.04,-46.69
-0.9954,-8.8487,7.8867,-20.16,-75.67,-85.75
-0.3685,-6.2118,8.5184,-12.25,-82.18,-111.86
0.4068,-4.3071,5.9294,2.94,-81.27,-107.1
-0.1388,-8.4419,4.6899,1.33,-58.52,-122.29
0.1053,-5.5418,7.6379,4.76,-45.08,-150.85
1.0672,-2.2828,5.7284,38.92,-58.94,-135.87
1.7085,-1.943,3.4409,58.24,-46.97,-133.0
2.857,2.5077,3.1059,63.42,-29.75,-125.79
4.0726,6.6808,1.4979,46.34,-2.66,-90.02
4.5272,7.2359,3.5844,20.93,28.63,-43.4
4.3262,6.4176,5.8528,-7.49,48.16,-6.72
4.0678,4.2018,7.6953,-14.42,43.68,26.04
3.7472,1.1151,9.2985,-26.39,43.96,31.85
3.5366,-1.2826,11.2415,-23.1,27.3,22.19
3.6945,-1.7803,10.8203,-11.62,9.8,9.66
4.0917,-1.517,10.2461,-2.24,3.78,7.42
