phi_r,theta_r
8.6274,-7.5811
10.5989,-7.2309
-0.0116,0.0450
4.6320,-13.7934
6.1909,-2.8019
9.5611,-3.9196
3.6344,-15.4847
0.1113,-12.1775
1.1169,0.4698
2.9524,-0.8652
4.6225,-5.2620
8.6556,4.7909
9.6888,1.7993
-0.0105,0.0367
3.3814,-20.6724
10.4829,-17.0971
14.8569,-26.5230
24.3075,-47.7979
34.6868,-46.7380
34.1407,-55.2158
16.1394,-85.8037
-8.7813,-97.2644
-24.7115,-74.7044
-49.9035,-45.1006
0.0251,-0.0323
-117.4341,-43.3743
-116.1763,-19.4273
-100.8415,-5.9548
-94.1240,-12.7358
-92.9005,-8.1243
-84.6335,22.4533
-66.3282,28.3450
-48.1494,14.4140
-43.0325,9.6454
-26.5992,20.1662
-0.0129,-0.0190
-2.7562,31.4023
-1.1913,22.1127
4.0743,19.8702
11.4834,24.7980
21.0520,22.0691
25.2102,7.8649
24.9018,7.4370
29.1750,17.4719
47.5487,22.8530
65.3452,1.7186
-0.0311,0.0623
67.6331,3.7884
78.7512,0.1941
93.8513,-6.7967
92.1242,-2.4745
82.3940,20.6185
82.2640,30.9214
92.6133,24.9597
102.0432,33.1899
89.0045,55.4442
76.3990,63.5000
-0.0159,0.0696
101.2245,13.9765
94.2802,35.9741
67.6292,46.9981
75.8809,26.2649
89.7635,10.7806
71.5080,26.5145
50.7039,23.8201
70.1453,10.6012
82.7370,12.3474
42.7105,25.2390
-0.0005,0.0575
31.0090,-14.2435
51.5710,-36.6708
46.7506,-51.2601
34.2463,-62.2986
37.0566,-77.1465
54.2105,-98.5875
52.2072,-104.9199
15.7730,-109.4766
-25.5265,-118.2907
-57.1935,-109.6100
0.0030,-0.0101
-76.0338,-87.5641
-82.1280,-103.8480
-78.4113,-87.1941
-54.3430,-59.6730
-30.4498,-69.1690
-25.6000,-71.6424
-7.7508,-65.2884
11.6179,-53.5527
11.4501,-51.3025
3.9426,-36.3738
-0.0042,0.0424
13.0320,-18.9552
16.0989,-25.2157
7.1594,-40.5972
1.7458,-43.8277
1.4673,-26.1553
7.4706,-11.8292
1.1458,-34.4917
-24.8124,-65.5593
-65.0238,-85.2474
-68.6079,-56.6515
0.0164,0.0330
-72.2408,-103.5982
-93.9594,-147.7188
-92.4520,-107.0262
-75.3247,-57.6861
-63.5064,-50.7576
-70.7582,-52.6875
-79.1344,-32.8660
-64.8777,-18.6742
-49.8597,-40.1125
-46.3884,-53.2152
0.0165,0.0153
-44.3679,-29.7756
-36.5048,-22.8442
-29.3892,-21.9616
-27.2491,-6.5614
-26.2956,20.8898
-32.2789,36.2778
-33.6377,54.4869
-31.6144,56.8007
-27.0791,60.0415
-24.2962,72.0962
-0.0005,-0.1132
-18.9864,92.7742
-19.8123,110.6780
-12.1285,111.7573
3.1417,95.0793
9.0374,97.9641
6.4119,91.7271
4.7465,90.9274
12.1912,100.3973
22.5733,90.8704
20.7083,93.7248
0.0053,-0.0667
39.9468,74.4619
61.9190,29.3767
52.6225,41.2183
41.0247,50.3844
51.7249,22.9825
70.8950,22.2409
80.8846,37.3510
70.0137,24.1502
65.9439,13.6790
80.3935,20.1667
-0.0276,0.0575
87.5682,48.3104
79.8922,44.4843
93.7170,31.0007
116.7603,23.3182
114.8267,9.4255
119.6129,4.2661
118.9094,-26.9839
125.5951,-60.0367
113.2098,-82.7000
100.3313,-104.1850
0.0113,0.0089
61.5425,-118.1824
36.7925,-115.8338
11.2133,-150.1112
-8.3472,-167.1553
-36.6383,-168.3915
-33.5587,-133.7976
-5.3108,-139.4441
-23.2072,-138.9856
-49.2458,-113.5494
-52.1240,-94.1444
0.0041,0.0429
-44.9676,-87.0236
-47.6355,-74.8882
-48.2801,-58.1213
-34.2328,-48.6435
-6.3060,-44.1670
1.5856,-31.6459
-4.2017,-8.9736
-8.0869,-6.0780
-5.5203,-7.7786
1.2354,-2.5818
-0.0054,-0.0032
2.8264,-1.7422
-0.1187,-6.8888
1.1662,-4.8534
5.0896,1.9233
5.9194,6.4344
2.4831,2.0375
