ax,ay,az,gx,gy,gz
0.0857,0.0517,-9.8192,-0.0132,0.0513,0.0253
0.0763,0.0574,-9.8110,-0.0090,0.0032,-0.0250
0.0697,0.0452,-9.8193,0.0770,-0.0160,-0.0450
0.0786,0.0519,-9.8053,0.0690,-0.0657,-0.0529
0.0793,0.0603,-9.8026,0.0237,-0.0855,-0.0140
0.0709,0.0637,-9.8044,-0.0364,-0.0512,0.0437
0.0647,0.0679,-9.8109,0.0239,0.0045,0.0245
0.0766,0.0667,-9.8048,0.0058,0.0267,0.0169
0.0698,0.0518,-9.8082,-0.0436,-0.0066,0.0138
0.0700,0.0545,-9.8066,0.0211,-0.1041,0.0126
0.0701,0.0614,-9.8031,0.0047,-0.1008,0.0121
0.0644,0.0497,-9.7989,-0.0019,-0.0573,0.0119
0.0650,0.0566,-9.8058,0.0377,-0.0822,-0.0303
0.0681,0.0507,-9.8028,0.0113,-0.0499,-0.0050
0.0636,0.0426,-9.8045,0.0429,-0.0371,0.0051
0.0646,0.0336,-9.8080,0.0133,-0.0741,0.0091
0.0708,0.0502,-9.8066,-0.0827,-0.0467,0.0529
0.0704,0.0481,-9.8031,-0.0788,-0.0358,0.0703
0.0703,0.0444,-9.8104,0.0071,-0.0315,0.0772
0.0673,0.0516,-9.8133,-0.0009,-0.0719,0.0378
0.0661,0.0660,-9.8115,0.0380,-0.0458,0.0222
0.0714,0.0659,-9.8108,0.0536,-0.0776,0.0159
0.0707,0.0659,-9.8077,0.0597,-0.0059,0.0134
0.0646,0.0515,-9.8122,0.0622,0.1069,-0.0297
0.0679,0.0631,-9.8053,0.0210,-0.1011,-0.0047
0.0721,0.0648,-9.8026,0.0468,-0.0996,-0.0369
0.0738,0.0511,-9.8102,-0.0273,-0.0990,-0.0497
0.0658,0.0658,-9.8074,-0.0146,0.0698,-0.0548
0.0713,0.0601,-9.7977,0.0326,-0.0316,-0.0147
0.0735,0.0636,-9.8111,-0.0751,-0.0719,0.0013
0.0686,0.0506,-9.8049,-0.0336,-0.0037,0.0076
0.0782,0.0569,-9.8140,-0.0592,0.0656,0.0101
0.0791,0.0595,-9.8060,-0.0695,0.0510,0.0111
0.0737,0.0605,-9.8029,-0.0314,-0.0391,0.0115
0.0716,0.0551,-9.8016,-0.0584,0.0094,0.0117
0.0736,0.0414,-9.8127,-0.0691,0.0287,-0.0304
0.0773,0.0533,-9.8142,-0.0734,-0.0058,-0.0050
0.0816,0.0465,-9.8148,-0.0329,-0.0617,0.0051
0.0805,0.0495,-9.8208,-0.0590,0.0004,0.0091
0.0829,0.0594,-9.8116,-0.0693,0.0251,0.0107
0.0752,0.0662,-9.8109,-0.0313,0.0771,-0.0308
0.0779,0.0545,-9.8106,-0.1005,-0.0287,0.0370
0.0704,0.0527,-9.8105,-0.0016,-0.0286,0.0640
0.7906,0.0607,-9.8018,-0.0044,0.0135,-0.0096
0.3654,0.0523,-9.8012,-0.0476,0.1146,0.0033
0.1876,0.0403,-9.8067,-0.0227,0.1970,0.0506
0.1313,0.0529,-9.8089,-0.0128,0.2719,0.0272
0.1002,0.0434,-9.8098,-0.0510,0.0910,-0.0664
0.0908,0.0483,-9.8073,-0.0662,0.0190,-0.0614
0.0841,0.0532,-9.8063,0.0121,-0.0097,-0.0595
0.0901,0.0378,-9.8116,0.0432,0.0211,-0.0587
0.0752,0.0490,-9.8109,-0.0287,-0.0510,0.0259
0.0750,0.0419,-9.8019,-0.0573,-0.1218,0.0174
0.0692,0.0448,-9.8070,0.0156,-0.0235,0.0140
0.0813,0.0460,-9.8062,-0.0397,-0.1109,-0.0295
0.0717,0.0436,-9.8058,-0.0195,-0.0613,-0.0046
0.0852,0.0599,-9.8115,-0.0115,-0.0416,0.0053
0.0934,0.0578,-9.8079,-0.0083,0.0084,0.0513
0.0880,0.0569,-9.8123,-0.0070,0.0283,0.0697
0.0715,0.0594,-9.8140,-0.0065,-0.0060,0.0348
0.0707,0.0633,-9.8147,-0.0485,-0.0196,-0.0212
0.0819,0.0534,-9.8121,-0.0230,0.0171,-0.0435
0.1007,0.0523,-9.8168,0.0293,0.0317,-0.0102
0.0938,0.0461,-9.8043,-0.0342,-0.0046,-0.0391
0.0940,0.0609,-9.8166,-0.0174,-0.0612,-0.0506
0.0825,0.0582,-9.8129,0.0315,0.0006,-0.0130
0.0751,0.0657,-9.8229,-0.0333,-0.0170,-0.0402
0.0692,0.0601,-9.8240,-0.1013,-0.0661,-0.0510
0.0899,0.0636,-9.8158,-0.0862,-0.0857,0.0289
0.0751,0.0506,-9.7953,-0.0380,0.0330,0.0186
0.0692,0.0598,-9.8044,-0.0189,-0.0041,0.0145
0.0669,0.0635,-9.7965,-0.0112,-0.0610,0.0129
0.0689,0.0563,-9.8020,-0.0082,-0.0415,-0.0299
0.0667,0.0592,-9.8042,-0.0070,-0.0759,-0.0048
0.0746,0.0604,-9.8021,0.0356,-0.0474,-0.0370
0.0661,0.0464,-9.8013,0.0104,0.0061,-0.0076
0.0685,0.0610,-9.8125,0.0004,0.0273,0.0041
0.0810,0.0669,-9.8055,-0.0457,-0.0063,0.0087
0.0802,0.0548,-9.8056,-0.0219,-0.0619,-0.0737
0.0770,0.0528,-9.8056,-0.0125,-0.0418,-0.0644
0.0815,0.0521,-9.8056,-0.0508,0.0083,-0.0185
0.0920,0.0604,-9.7970,0.0182,0.0282,-0.0003
0.0817,0.0551,-9.7993,0.0457,0.0362,0.0070
0.0661,0.0587,-9.8002,0.0987,-0.0028,-0.0323
0.0772,0.0573,-9.7919,0.0355,-0.0183,-0.0479
0.0729,0.0510,-9.7973,-0.0317,-0.0245,-0.0119
0.0684,0.0456,-9.8081,-0.0585,-0.0270,0.0024
0.0781,0.0492,-9.7979,0.0151,0.0142,0.0080
0.0791,0.0593,-9.8170,0.0023,0.0306,-0.0318
0.0737,0.0546,-9.8303,-0.0028,-0.0051,-0.0056
0.0716,0.0528,-9.8097,-0.0049,0.0229,-0.0373
0.0678,0.0607,-9.8101,-0.0057,-0.0081,-0.0077
0.0635,0.0494,-9.8103,-0.0481,-0.0204,0.0040
0.0704,0.0478,-9.8075,0.0193,-0.0254,0.0087
0.0616,0.0443,-9.8236,0.0882,0.0570,-0.0316
0.0696,0.0400,-9.8157,0.0314,0.0897,-0.0898
0.0699,0.0499,-9.8067,0.0509,0.0606,-0.0708
0.0787,0.0538,-9.8089,0.0587,0.0069,-0.0632
0.0764,0.0553,-9.8271,0.0618,-0.0145,0.0241
0.0726,0.0531,-9.8142,-0.0635,-0.0230,0.0167
0.0798,0.0377,-9.8004,-0.0290,0.0579,-0.0284
0.0826,0.0489,-9.8035,0.0269,0.0480,-0.0463
0.0780,0.0592,-9.8134,0.0070,0.0019,-0.0113
0.0761,0.0373,-9.7972,0.0412,-0.0165,-0.0817
0.0783,0.0574,-9.7907,0.0127,0.0184,-0.0676
0.0705,0.0539,-9.7997,0.0013,-0.0099,-0.0619
0.0674,0.0496,-9.8119,-0.0032,-0.0633,-0.0175
0.0691,0.0508,-9.8023,0.0371,-0.0424,0.0001
0.0611,0.0512,-9.7870,0.0532,-0.0341,-0.0350
0.0636,0.0601,-9.7867,0.0174,-0.1151,-0.0068
0.0618,0.0578,-9.8010,0.0454,-0.0630,0.0044
0.0697,0.0713,-9.8124,0.0565,-0.0001,-0.0333
0.0728,0.0537,-9.8025,0.0609,-0.0594,-0.0061
0.0655,0.0524,-9.8073,-0.0217,-0.0409,-0.0375
0.0683,0.0634,-9.8207,-0.0124,-0.0756,-0.0500
0.0780,0.0563,-9.8174,-0.0086,-0.0473,-0.0549
0.0848,0.0534,-9.8103,-0.0072,-0.0360,-0.0569
0.0702,0.0408,-9.8103,-0.0066,-0.0316,-0.0998
0.0759,0.0473,-9.8132,-0.0064,-0.0298,-0.0326
0.0696,0.0470,-9.8144,-0.0484,-0.0712,-0.0059
0.0642,0.0526,-9.8062,0.0192,-0.0877,0.0048
0.0735,0.0520,-9.8145,-0.0383,-0.0100,0.0090
0.0715,0.0517,-9.8063,-0.0611,0.0210,0.0107
0.0678,0.0516,-9.8116,-0.0280,0.0333,-0.0308
0.0692,0.0516,-9.8109,-0.0149,-0.0040,-0.0051
0.0698,0.0573,-9.8250,-0.0940,-0.0188,0.0472
0.0700,0.0567,-9.8133,-0.0833,0.0174,-0.0163
0.0758,0.0536,-9.8260,-0.0369,-0.0103,0.0428
0.0753,0.0553,-9.8166,-0.0184,-0.0213,-0.0180
