phi_r,theta_r
4.8051,-5.6758
4.6908,-5.5410
4.1992,-2.2318
-0.0005,0.0125
2.4953,-2.5838
1.2216,-5.8085
0.3426,1.0776
1.2975,1.8900
1.6266,-3.9613
0.0005,0.0330
0.6969,-7.1135
0.2507,-3.4254
2.3616,0.3214
4.3396,0.2402
2.5499,-0.7584
0.0017,0.0096
1.0356,8.3243
0.8635,7.4530
0.1833,2.2127
-4.1992,-1.2873
-5.5040,-0.9063
0.0017,0.0134
4.1285,1.9764
4.4408,-4.9122
2.4640,-6.9303
5.6311,-2.9142
16.8041,-9.1734
-0.0159,0.0869
31.8170,-56.0344
28.6759,-78.2900
20.6091,-87.0922
7.4677,-76.5144
-20.8899,-80.6190
-0.0137,0.0576
-78.3261,-123.9982
-95.3472,-106.5292
-105.4138,-92.7774
-108.3938,-92.6504
-101.2659,-102.8283
-0.0003,-0.0327
-94.8635,-77.5635
-83.9298,-82.1227
-72.2104,-74.0097
-62.6200,-40.5992
-47.2087,-35.6226
0.0076,-0.0259
-27.4356,-28.5269
-25.2585,-13.4224
-19.4170,0.1728
-11.7291,-0.1464
-5.8684,-0.1225
-0.0077,-0.0595
2.2610,24.6773
-1.6568,27.0844
-3.0015,19.9082
3.6164,13.1602
11.2957,11.7559
-0.0133,-0.0713
6.3425,44.5481
-0.4377,47.0859
1.5918,37.4221
8.5389,25.1459
11.0327,27.5047
-0.0134,-0.0486
8.6433,47.0975
13.0708,30.3100
19.6676,16.9816
29.1198,19.6148
27.2196,29.8323
-0.0198,-0.0211
28.8139,41.8342
35.5104,41.3786
35.4080,38.7814
32.9115,41.6573
41.7837,36.5081
-0.0288,0.0271
59.9665,34.1132
65.2647,30.2292
66.2563,30.1566
58.3328,44.8832
63.7094,39.0904
-0.0295,0.0677
83.5127,16.7189
78.2788,25.6799
84.3061,2.9823
100.8838,-18.4551
145.0814,-23.3518
-0.0160,-0.0258
112.3419,-49.9886
103.6993,-54.2475
99.2883,-81.1670
70.8335,-77.0084
26.3539,-46.3302
0.0084,0.0495
-40.1712,-15.4816
-71.1742,-6.0367
-98.3612,-4.0944
-119.2974,11.8369
-119.5184,27.9054
0.0305,-0.0163
-78.4416,23.8117
-54.3516,1.8767
-40.8385,-8.3262
-32.0573,-12.0910
-16.4173,-17.0646
-0.0165,0.0206
9.3393,-3.5317
14.4166,-18.8172
18.9030,-16.8560
21.5572,-6.1984
21.9110,0.7945
-0.0142,0.0132
23.1407,-6.8097
13.7544,-3.7406
5.0575,4.1337
4.3610,8.7276
7.7204,6.1332
-0.0040,0.0114
0.4844,-8.4447
-7.0400,-4.3781
-5.7961,0.0502
0.6404,3.0321
4.3087,6.5778
-0.0068,0.0061
6.7659,3.2219
11.4462,-0.6557
13.7539,-6.4074
10.9104,4.0058
14.7490,-7.3185
-0.0117,0.0461
12.8010,-11.0214
10.5818,-6.8904
6.8515,-14.9531
2.0025,-27.0604
-2.0173,-34.5807
0.0024,0.0699
-7.4942,-24.4486
-9.4831,-26.0333
-10.1640,-36.9853
-8.5216,-42.9144
-5.1850,-52.1765
0.0029,0.0898
-16.3958,-65.9384
-21.9440,-72.7886
-26.2202,-75.2549
-35.3561,-69.1857
-44.6702,-57.8754
0.0193,0.0285
-52.7787,-50.7699
-55.7692,-52.0024
-58.6862,-38.1798
-60.8936,-22.6541
-62.2679,-26.6702
0.0172,0.0138
-56.3378,-56.4079
-54.3148,-37.7123
-51.2716,-17.4140
-43.4047,-11.8086
-34.7961,-21.9191
0.0157,-0.0018
-44.1671,-3.3291
-38.1691,7.2347
-29.2891,3.2982
-22.2857,2.1778
-17.5379,13.5648
-0.0004,-0.0824
-15.5565,23.3376
-11.6632,33.5889
-2.0624,46.2619
5.8347,56.3532
10.1483,60.3158
-0.0160,-0.0594
22.4354,42.9935
31.8586,36.1425
45.7303,27.1344
51.5723,24.7425
48.0707,31.9231
-0.0266,0.0291
59.3876,28.4436
62.0012,34.5832
61.8844,33.8634
70.9176,25.6249
89.3837,6.0079
-0.0326,0.0571
