phi_r,theta_r
-0.0179,0.0281
1.7970,-5.5752
2.9165,-8.0946
3.9237,-5.9425
2.2020,-1.9444
1.3103,-3.3886
-0.0192,0.0279
4.9180,-4.8079
6.2723,-0.6460
3.3869,1.1125
1.7049,0.0637
1.3983,0.1094
-0.0175,0.0216
0.4016,-3.1521
0.5109,-0.9780
1.6897,0.3294
3.1728,-0.5609
3.5950,-3.6260
-0.0215,0.0336
7.8783,-3.6217
7.4018,-3.4070
2.5034,-2.5425
-3.6536,4.8763
-7.9883,8.7095
-0.0078,-0.0085
-18.9231,23.3444
-27.3113,33.8204
-32.7976,32.3264
-37.4004,21.4576
-43.7028,26.0532
0.0043,-0.0464
-52.9502,69.5036
-36.3654,48.2214
-12.5939,22.6537
5.1898,18.2453
17.2523,9.5309
-0.0311,0.0656
42.1799,-5.2390
53.8899,-9.3760
68.6421,-25.4730
72.7837,-43.2527
75.3971,-45.0426
-0.0176,-0.0178
113.7217,-66.7022
115.3390,-71.4567
107.5362,-64.6043
113.1767,-70.8596
119.0285,-65.8689
-0.0254,-0.0616
111.2441,-19.5523
107.3462,-9.6629
108.9337,2.3332
108.4101,7.1249
102.2358,9.1200
-0.0349,-0.0304
85.4649,35.3261
73.3257,46.5842
69.9853,41.8124
72.7643,36.0932
76.1949,46.6877
-0.0198,-0.0487
62.2813,58.9590
67.5302,38.2767
77.1152,22.1184
59.5300,34.6765
42.7039,51.5063
-0.0082,-0.0867
34.8644,56.2344
31.1500,56.0357
28.6008,61.3157
26.7276,62.7612
28.2602,47.7942
-0.0055,-0.0826
24.0817,46.0825
27.6218,40.1203
37.9828,24.3646
42.5960,31.7008
40.1792,51.5200
-0.0051,-0.0952
47.7704,51.1347
47.1607,55.1006
37.8060,77.6904
31.8725,95.2525
24.3880,109.0307
-0.0118,-0.0900
-40.6713,139.0162
-70.3411,132.1606
-78.6140,117.2982
-87.2234,118.5765
-105.3968,113.3169
0.0003,0.0891
-149.7561,82.1459
-162.0436,89.7495
-170.4759,87.2084
-177.0650,80.0583
-176.9320,58.8574
-0.0026,0.1138
-156.7363,8.6295
-151.2915,-1.4118
-149.3975,-7.2538
-136.0047,-23.5491
-108.2642,-48.6729
0.0057,0.0499
-99.2913,-71.3998
-97.6421,-38.9382
-68.2520,-23.2143
-19.6041,-29.4692
24.8276,-48.7512
-0.0160,0.0330
-4.4505,-53.2906
-10.0514,-28.2750
5.8561,-12.1456
29.6070,-17.6540
36.9985,3.6164
-0.0152,-0.0803
1.3584,29.3239
6.5789,19.3406
20.0003,10.3017
22.3860,16.0493
19.2778,27.6698
-0.0193,-0.0463
22.3121,33.2335
24.2490,22.1749
