ax,ay,az,gx,gy,gz
-0.5025,7.1019,6.9679,6.8647,2.0594,-0.6865
-0.5312,7.0253,6.9248,4.1188,4.8053,-3.4323
-0.5073,7.1115,6.9488,-3.4323,6.1782,-3.4323
-0.5408,7.0540,6.9296,6.8647,4.8053,-1.3729
-0.4546,7.0732,6.9105,3.4323,4.1188,-0.6865
-0.4929,7.1163,6.9296,2.0594,3.4323,-0.6865
-0.5121,7.1019,6.9153,6.8647,6.1782,-3.4323
-0.4929,7.1258,6.9392,-0.6865,3.4323,-0.6865
-0.5168,7.0540,6.9535,3.4323,6.8647,-4.1188
-0.5025,7.1210,6.9583,2.0594,4.8053,0.0000
-0.5216,7.0588,6.9105,0.6865,8.2376,-1.3729
-0.4690,7.1019,6.9248,2.0594,3.4323,-2.7459
-0.5360,7.0828,6.9344,0.6865,4.8053,-0.6865
-0.4738,7.0540,6.9200,-175.0487,7.5511,-5.4917
-0.5168,7.0875,6.9535,0.0000,3.4323,-1.3729
-0.5360,7.0684,6.9488,2.0594,5.4917,-3.4323
-0.4881,7.0971,6.9631,4.1188,2.7459,-2.7459
-0.5264,7.0780,6.9248,4.1188,4.1188,-0.6865
-0.4881,7.0445,6.9631,-2.0594,5.4917,-2.0594
-0.4977,7.0923,6.9248,1.3729,4.8053,-1.3729
-0.5264,7.0923,6.9631,1.3729,6.8647,-4.1188
-0.5121,7.0923,6.9440,-1.3729,4.8053,-0.6865
-0.5168,7.0684,6.9200,3.4323,4.1188,-0.6865
-0.4738,7.1354,6.9488,-0.6865,4.8053,-0.6865
-0.5025,7.0205,6.9344,-0.6865,4.8053,-3.4323
-0.4881,7.0828,6.9440,2.0594,4.1188,-3.4323
-0.4786,7.0636,6.9440,2.0594,4.8053,-0.6865
-0.5121,7.0205,6.9153,0.6865,5.4917,-4.1188
-0.5073,7.1354,6.9296,-0.6865,3.4323,0.0000
-0.5073,7.0493,6.9105,-0.6865,6.8647,-3.4323
-0.4834,7.1019,6.9248,-2.0594,6.1782,-2.7459
-0.5503,7.0636,6.9392,1.3729,5.4917,-1.3729
-0.5121,7.0636,6.9583,4.8053,5.4917,-4.1188
-0.5264,7.1067,6.9248,4.1188,2.7459,-0.6865
-0.4738,7.0158,6.9392,3.4323,6.8647,-4.1188
-0.5121,7.1210,6.8961,-3.4323,4.1188,-1.3729
-0.5025,7.0588,6.9296,-0.6865,6.8647,-4.8053
-0.4642,7.1019,6.9583,-3.4323,6.8647,-2.0594
-0.4738,7.1689,6.9440,6.8647,1.3729,0.0000
-0.5838,7.0732,6.9105,-18.5346,0.0000,0.6865
-0.5503,7.1258,6.9488,-18.5346,4.1188,-2.0594
-0.4929,7.0828,6.9488,-3.4323,4.1188,-4.1188
-0.4499,7.0923,7.0158,-17.1616,5.4917,-2.0594
-0.4881,7.0397,7.0014,1.3729,6.1782,-3.4323
-0.5360,7.0732,6.9727,8.2376,2.7459,-1.3729
-0.5599,7.0828,6.8722,-5.4917,5.4917,-0.6865
-0.4834,7.0732,6.9057,-6.1782,7.5511,-3.4323
-0.4594,7.1163,6.9440,-10.2970,7.5511,-2.7459
-0.5168,7.0349,6.9488,-1.3729,7.5511,-4.1188
-0.5121,7.0971,6.9679,4.1188,4.8053,-2.7459
-0.5503,7.0636,6.9440,7.5511,2.7459,-2.0594
-0.4738,7.0828,6.9870,-0.6865,6.1782,-4.1188
-0.4738,7.0253,6.9200,2.7459,3.4323,-2.7459
-0.4929,7.0349,6.9392,-8.9241,8.9241,-4.1188
-0.5551,7.0828,6.9583,-0.6865,4.8053,-0.6865
-0.5216,7.0253,6.9631,3.4323,6.1782,-2.7459
-0.4786,7.0780,6.9823,8.2376,0.0000,0.0000
-0.4977,7.0588,6.9057,5.4917,6.8647,-2.7459
-0.5025,7.0923,6.8770,-0.6865,6.8647,-3.4323
-0.5312,7.1067,6.9248,-3.4323,6.8647,-1.3729
-0.5073,7.0684,6.9344,-4.1188,6.1782,-4.8053
-0.5073,7.0923,6.9727,3.4323,4.1188,-0.6865
-0.5073,7.0253,6.9296,4.1188,5.4917,-2.0594
-0.5025,7.1067,6.9488,0.6865,4.1188,-3.4323
-0.5025,7.0828,6.8961,4.8053,6.1782,-4.1188
-0.4834,7.0875,6.9248,-3.4323,6.8647,-5.4917
-0.5408,7.0588,6.9488,0.0000,4.1188,-3.4323
-0.5121,7.0636,6.9488,4.8053,6.1782,-3.4323
-0.5216,7.0971,6.9344,3.4323,2.0594,0.6865
-0.5216,7.0493,6.9200,4.8053,4.8053,-4.1188
-0.5121,7.1019,6.9200,0.6865,3.4323,-1.3729
-0.5264,7.0540,6.9057,2.0594,7.5511,-3.4323
-0.5168,7.0875,6.9488,-2.0594,7.5511,-4.1188
-0.5216,7.0923,6.9727,3.4323,6.1782,0.0000
-0.4881,7.0397,6.9392,2.7459,6.8647,-3.4323
-0.4881,7.1354,6.9631,3.4323,2.7459,0.0000
-0.5121,7.0349,6.9057,2.0594,6.8647,-2.7459
-0.5073,7.1067,6.9248,-1.3729,3.4323,-3.4323
-0.5408,7.0732,6.9296,-1.3729,6.8647,-2.0594
-0.4977,7.0397,6.9392,-2.7459,4.8053,-4.1188
-0.5073,7.0971,6.9153,2.0594,4.8053,-0.6865
-0.5025,7.0732,6.9631,5.4917,5.4917,-2.0594
-0.4834,7.1115,6.9344,0.0000,3.4323,-2.0594
-0.5312,7.0397,6.8913,4.1188,8.9241,-4.8053
-0.5073,7.1067,6.9535,-2.7459,6.1782,-1.3729
-0.5121,7.0301,6.9153,0.0000,7.5511,-2.7459
-0.5025,7.0875,6.9488,2.7459,6.1782,-2.7459
-0.5312,7.1019,6.9200,2.0594,5.4917,0.0000
-0.4977,7.0588,6.9200,2.0594,4.8053,-4.8053
-0.4929,7.1115,6.9488,-2.7459,4.1188,-1.3729
-0.5360,7.0253,6.9296,2.7459,7.5511,-4.8053
-0.4881,7.0875,6.9392,0.6865,5.4917,-4.8053
-0.5216,7.0732,6.9153,4.1188,4.1188,-1.3729
-0.5025,7.0397,6.9392,2.7459,5.4917,-1.3729
-0.4929,7.1019,6.9009,5.4917,2.0594,-2.0594
-0.5264,7.0923,6.9392,0.0000,6.1782,-5.4917
-0.5025,7.1210,6.9631,1.3729,4.8053,-1.3729
-0.5503,7.0588,6.9344,4.8053,4.8053,-0.6865
-0.4929,7.1258,6.9583,1.3729,4.8053,-1.3729
-0.4881,7.1163,6.9248,6.1782,3.4323,-1.3729
-0.4834,7.0923,6.9057,0.0000,6.1782,-4.1188
-0.4929,7.1115,6.9583,-3.4323,4.8053,0.0000
-0.5264,7.0445,6.9296,6.8647,5.4917,-3.4323
-0.5121,7.0923,6.9679,2.0594,3.4323,0.0000
-0.5121,7.0445,6.9153,6.1782,6.1782,-1.3729
-0.4977,7.1354,6.9200,4.8053,6.1782,-2.7459
-0.5312,7.0923,6.9248,-1.3729,6.1782,-1.3729
-0.5025,7.0445,6.9392,0.0000,6.8647,-5.4917
-0.5073,7.1019,6.9344,0.6865,4.1188,-0.6865
-0.5216,7.0205,6.9679,5.4917,6.1782,-3.4323
-0.4929,7.1115,6.9296,2.7459,4.1188,-0.6865
-0.5312,7.0780,6.9153,5.4917,4.1188,0.0000
-0.5025,7.1067,6.9440,2.0594,6.1782,-1.3729
-0.5264,7.0445,6.9200,1.3729,3.4323,-1.3729
-0.4786,7.0732,6.8913,0.0000,6.1782,-4.8053
-0.4881,7.0923,6.9296,-2.0594,4.8053,-0.6865
-0.5025,7.0397,6.8722,-0.6865,6.8647,-4.1188
-0.4977,7.1354,6.9583,0.6865,1.3729,-1.3729
-0.4929,7.0493,6.9392,5.4917,5.4917,-2.7459
-0.4786,7.0875,6.9583,-2.0594,6.1782,-4.1188
-0.5264,7.0875,6.9344,3.4323,6.1782,-1.3729
-0.5216,7.0301,6.9153,2.7459,6.1782,-4.8053
-0.5121,7.1306,6.9344,1.3729,4.1188,-1.3729
-0.4929,7.0253,6.9200,3.4323,6.1782,-4.1188
-0.4929,7.1019,6.9440,-3.4323,4.8053,-3.4323
-0.5168,7.1019,6.9200,5.4917,4.1188,-1.3729
-0.4834,7.0493,6.9488,2.7459,5.4917,-4.1188
-0.4786,7.0636,6.9344,3.4323,3.4323,-1.3729
-0.5599,7.0971,6.9870,8.9241,7.5511,-3.4323
