ax,ay,az,gx,gy,gz
-8.4562,-4.9723,0.9380,30.8909,18.5346,4.8053
-8.3318,-5.0680,1.0528,-2.0594,36.3827,21.9669
-8.3366,-5.2594,1.2108,-15.7887,28.8316,-3.4323
-8.2935,-5.1254,1.3208,-8.9241,8.2376,-26.0857
-8.2983,-4.9579,1.0720,13.7293,-11.6699,-26.7722
-8.2361,-4.8000,0.8806,24.0263,7.5511,0.6865
-8.4562,-4.9723,1.0576,18.5346,10.9834,20.5940
-8.5424,-5.1206,1.2538,-4.1188,8.2376,29.5180
-8.3797,-5.2020,1.1868,3.4323,-1.3729,5.4917
-8.3318,-5.1302,1.1246,8.9241,-10.2970,-9.6105
-8.2983,-5.0297,0.9858,6.1782,-4.1188,-9.6105
-8.3797,-4.9962,0.9619,19.2210,8.9241,-5.4917
-8.3797,-5.0058,1.0576,-7.5511,19.9075,7.5511
-8.3414,-5.0871,1.1055,3.4323,17.1616,-1.3729
-8.2840,-5.0345,1.1055,6.1782,17.8481,-5.4917
-8.3366,-5.0536,1.1007,21.9669,14.4158,-10.2970
-8.3510,-4.9819,1.1246,3.4323,4.8053,-2.7459
-8.3845,-4.9914,1.1486,4.1188,8.9241,2.7459
-8.4036,-5.0106,1.1629,3.4323,-6.8647,8.9241
-8.3127,-4.9962,0.9906,7.5511,1.3729,17.8481
-8.2600,-5.0345,1.0481,17.1616,-0.6865,14.4158
-8.2792,-5.0584,1.0385,21.2804,5.4917,8.2376
-8.3031,-5.1015,1.0576,10.2970,13.7293,-7.5511
-8.4562,-5.0824,1.0672,8.9241,17.1616,-13.0428
-8.3557,-4.9962,1.0959,-21.9669,25.3992,-0.6865
-8.2600,-5.0441,1.0098,21.9669,26.0857,-10.2970
-8.3079,-5.0106,1.0816,12.3564,22.6534,-4.8053
-8.4179,-5.0154,1.1438,6.8647,-0.6865,-4.1188
-8.4562,-4.9914,1.2108,-3.4323,-5.4917,0.0000
-8.3940,-4.9771,1.1007,4.1188,-2.7459,9.6105
-8.3605,-5.0297,1.0576,13.7293,0.0000,13.7293
-8.2265,-5.0345,1.0050,5.4917,8.9241,14.4158
-8.2792,-5.0919,1.1246,26.0857,-1.3729,3.4323
-8.3557,-5.0824,1.0672,13.7293,0.6865,-5.4917
-8.4275,-5.0584,1.0241,5.4917,7.5511,-10.2970
-8.2983,-4.9914,1.0576,-9.6105,24.7128,5.4917
-8.3557,-5.0871,1.0481,0.6865,32.2639,-4.1188
-8.3510,-5.0776,1.1246,21.9669,19.9075,-8.2376
-8.3462,-5.0154,1.1103,6.8647,10.2970,-15.1022
-8.4897,-4.9914,1.1581,3.4323,-6.1782,-13.0428
