Accelerometer X (g),Accelerometer Y (g),Accelerometer Z (g),Gyroscope X (rad/s),Gyroscope Y (rad/s),Gyroscope Z (rad/s)
0.001015204,-0.02045836,0.9970807,0.01644619,-0.1517251,0.1080897
0.001015204,-0.02045836,0.9970807,0.01644619,-0.1517251,0.1080897
0.001496836,-0.01803474,0.9990417,0.01654156,-0.3308571,0.04700107
0.001004352,-0.02387611,0.9902474,0.1397353,0.02775334,0.04694203
-0.001427811,-0.01955863,0.9868692,0.01659669,-0.09172359,0.04694056
-0.001897507,-0.019532,0.9912492,0.01657585,-0.2112006,-0.01405207
5.35E-05,-0.02481734,0.9941354,-0.1065821,0.1473159,0.0469376
-0.002864638,-0.01905347,0.9907663,0.01653421,-0.1514274,-0.07508455
3.83E-05,-0.02000082,0.9931914,0.07799502,-0.03185146,0.1690128
-0.00188557,-0.01708175,0.9975901,0.1395578,-0.03184022,0.1078816
0.001499004,-0.01996975,0.9980567,-0.04517817,-0.03185653,-0.01414048
-0.001886814,-0.02096376,0.9936736,-0.2298755,-0.03194784,-0.07517142
-0.00431247,-0.01808704,0.9912598,-0.1066236,0.08753434,-0.01416247
0.003898778,-0.02096244,0.9931826,-0.04510489,0.02769396,-0.07528921
0.000524431,-0.02096196,0.9936717,0.01645266,0.206963,0.2297996
0.0005297,-0.02192047,0.9946392,0.1394918,0.02764317,0.04667158
0.000530162,-0.02482898,0.9921885,-0.1068417,0.08748899,-0.01441656
0.002464892,-0.02433029,0.9946231,0.1396248,0.1470908,0.04657355
0.001487534,-0.02096424,0.9931844,0.07800663,0.2068053,0.04649591
-0.000923556,-0.02048079,0.9936758,0.0780247,0.02754189,-0.0755257
0.000993508,-0.01856534,0.9912528,0.07804274,0.0275636,0.04647483
-0.000921698,-0.0233863,0.9917117,-0.04499904,-0.09181929,-0.01457471
-0.002856429,-0.02388498,0.9892771,0.0781753,0.0874873,0.1073684
-0.000449831,-0.02098367,0.9902661,0.0780191,0.08747122,-0.0147871
-0.003329997,-0.02289684,0.9931764,0.01651693,0.08745519,-0.1369042
4.30E-05,-0.01853607,0.9961199,0.1397687,0.08734532,0.2291765
0.001491874,-0.02046999,0.9951339,0.07813092,-0.09186183,-0.01507608
-0.000442701,-0.02048343,0.9931889,0.01651256,0.027583,-0.01517215
-0.001416497,-0.01904939,0.9912518,0.07810876,-0.03214453,0.1678396
-0.000433563,-0.0267677,0.9907176,-0.1066661,-0.2112391,-0.01526807
-0.001402396,-0.02289841,0.9926884,-0.1682457,0.08764075,0.1067335
0.000501188,-0.01519294,0.9907872,0.1396828,-0.1514285,-0.0153638
0.001966219,-0.01903187,0.9936823,0.01640888,0.1476014,0.04572334
3.86E-05,-0.02339457,0.9902511,0.1395061,0.1475474,-0.07637393
-0.002850383,-0.02241723,0.9926924,0.1394662,-0.03182922,0.1067914
4.76E-05,-0.02143558,0.9951291,-0.1069639,-0.09172609,0.1677634
-0.00189704,-0.01807625,0.992718,-0.045348,0.0276623,-0.01542079
-0.001416963,-0.02050514,0.9897831,-0.04540709,0.08737674,0.2287358
-0.001409833,-0.02000489,0.9927059,-0.04535008,-0.2113101,0.1066003
0.006309249,-0.01902264,0.9946524,-0.106794,-0.09177148,-0.01553513
0.002458228,-0.02337478,0.9931691,-0.04515383,0.02777582,-0.07655001
0.000521334,-0.0175742,0.9956388,-0.2298899,0.207026,0.04550932
0.001484122,-0.02291124,0.990253,0.07799996,-0.03206187,-0.01555818
-0.001412778,-0.02049614,0.9912429,-0.1682756,0.02774633,-0.07664482
3.61E-05,-0.01806581,0.9941763,0.07807469,0.08732933,0.106425
-0.001910216,-0.02004424,0.98638,0.07809266,0.02756429,-0.07673973
0.003420092,-0.02289481,0.9926847,0.1396115,0.02762349,0.1063877
0.002461485,-0.02191303,0.995611,0.01641506,0.02772017,0.04533959
-0.000927433,-0.02388354,0.9892756,0.07799202,-0.09185053,0.1063505
-0.002380066,-0.02050286,0.9902706,-0.04512706,0.02765063,-0.1988348
0.001002184,-0.0219411,0.9912323,-0.1683623,0.2067884,0.2284298
-0.000919677,-0.01707803,0.9980761,0.0163712,0.02743121,0.1673051
5.06E-05,-0.02094433,0.9965921,-0.1068059,-0.03227734,0.1671716
-0.002362861,-0.01901112,0.9975788,-0.04513215,-0.1516976,0.1059896
-0.000430147,-0.02045644,0.9975685,0.07800363,-0.03219637,0.04486532
0.003417613,-0.0219303,0.9926905,0.01640476,0.0871548,-0.07721172
-0.003329687,-0.02192634,0.9941555,-0.1681572,-0.09203334,-0.0162194
-0.005269218,-0.02001077,0.9922222,0.07825095,0.08725474,0.04481132
-0.004796423,-0.01906091,0.9897945,-0.1064854,-0.09208363,0.04471669
0.001485827,-0.02193774,0.9917186,-0.1064097,0.1471038,0.1667195
-0.000937967,-0.01760227,0.9912602,0.07830401,-0.0322159,-0.1385224
0.001014583,-0.02239936,0.9951226,0.01666606,0.02747994,0.1666458
0.001966064,-0.01951712,0.9931929,0.01654843,0.2067492,-0.07768156
-0.00044534,-0.02436844,0.9887857,0.01658565,-0.1517616,0.04451336
0.002463497,-0.02433329,0.9941365,-0.1065917,0.2067365,-0.2607093
-0.000944319,-0.01567627,0.9907854,-0.04497625,-0.0920627,0.04442079
-0.000438823,-0.01708067,0.9975891,0.01658115,-0.15164,0.1053178
0.004376376,-0.02242683,0.9902537,-0.229714,0.02770426,-0.07786466
0.000518696,-0.02145921,0.9912356,-0.04482608,-0.03206097,0.1052258
-0.000456028,-0.01857241,0.9902807,0.07844472,-0.2710175,0.04406416
0.005364897,-0.02140462,0.9995048,0.01682595,-0.03183042,0.1661445
0.005833042,-0.02191951,0.9941485,-0.1677172,0.1474384,-0.01699939
-0.000449516,-0.01564891,0.9951646,-0.1061163,0.08766289,0.1049798
-0.002866651,-0.01663321,0.9922408,0.01705743,-0.09163849,-0.07822144
0.000529229,-0.02774048,0.9892511,0.07869159,-0.03196189,-0.01715118
0.001483655,-0.024367,0.9887842,0.07868946,-0.03194054,0.1659014
0.005811038,-0.01663273,0.9912609,-0.04450788,-0.09161209,0.2878478
0.002944666,-0.01900116,0.9985481,-0.04454866,0.08776927,0.1044744
0.001474979,-0.02099123,0.9888047,0.01706622,-0.0914572,0.3485379
4.76E-05,-0.02143558,0.9951291,-0.106015,-0.151129,0.04325921
0.000999243,-0.01806809,0.9936889,0.1404118,0.2072932,0.1042536
-0.002372781,-0.01951737,0.9936827,-0.1059421,0.02801047,0.04315064
-0.00042829,-0.02336194,0.9956045,0.01736674,0.08779956,0.04311559
-0.000441773,-0.02193618,0.9922068,0.01730621,0.2669931,-0.07892092
0.000523191,-0.02047971,0.9936747,0.01730379,-0.0914808,-0.07905178
0.00389382,-0.01903343,0.9931943,0.01734007,0.2670729,0.1039444
0.002930251,-0.02048691,0.992213,0.2020724,-0.09149495,0.1649775
0.000519624,-0.02291196,0.9902537,0.1404531,0.02808082,-0.1402048
-0.002832564,-0.02771301,0.99412,-0.1059589,-0.09143406,-0.07921001
-0.000920766,-0.02047479,0.9946491,-0.04432493,-0.09139428,0.04283354
0.001482727,-0.02291424,0.9897663,0.01725096,0.08778045,0.04277973
0.003905135,-0.01852419,0.997577,0.07882689,0.2072436,0.042726
-0.001874419,-0.02578628,0.9936443,0.1404028,-0.09134976,-0.01835721
0.001482109,-0.02049099,0.9917274,-0.16751,0.08797501,-0.01831498
0.000524586,-0.02047671,0.9941614,0.1403789,-0.03148372,-0.01833031
0.000516528,-0.0195242,0.9922207,0.1403379,0.02851144,0.1646471
0.002459778,-0.02288653,0.9941452,-0.1059772,-0.03123602,-0.07958193
0.003888085,-0.01953068,0.9907583,0.07883255,-0.03123432,0.2255697
3.16E-05,-0.01904531,0.9917373,-0.04442296,-0.03132642,0.2255547
-0.000918442,-0.02192454,0.9941537,0.01719176,-0.09097998,-0.07964614
0.002444439,-0.01855526,0.9927117,-0.04440806,-0.03121035,0.1034083
-0.002356357,-0.02481614,0.9946238,0.01714861,-0.0313025,0.1033167
-0.002855185,-0.02000297,0.9931936,0.01714642,0.02856106,0.04219579
-0.001906493,-0.01712674,0.9902906,-0.04443401,0.2675595,0.1031148
0.000997071,-0.02049734,0.9907546,0.07870094,0.02852688,-0.01901622
-0.000930219,-0.01952528,0.9922218,0.01700985,0.02851877,0.1030799
4.56E-05,-0.01901532,0.9966038,-0.2908641,0.5662256,0.1030846
-0.006220234,-0.02143725,0.9956206,0.01712174,0.08810261,0.04198313
-0.001417123,-0.02535465,0.9853742,-0.1060563,-0.1508922,0.04196873
0.000534972,-0.01851471,0.999526,0.1402739,0.02841353,-0.01913267
-0.000920615,-0.0243538,0.9912192,0.01715391,-0.03142764,-0.01908948
0.000514209,-0.01371019,0.9966356,0.07871061,0.02841735,0.1030702
-0.001425955,-0.02246414,0.9849051,0.07865042,-0.2704394,0.1640277
-0.001921064,-0.01909773,0.9834661,0.01693469,-0.210632,0.1639367
0.000535586,-0.02530223,0.9936454,-0.1678987,-0.2105363,-0.1412634
0.000560538,-0.0257335,1.001915,-0.1062256,-0.1505977,-0.08026731
-0.000424097,-0.01462443,1.004903,-0.1677478,-0.09073444,-0.01930948
4.45E-05,-0.02241207,0.9931768,0.07873724,0.02870904,0.04170596
0.002421343,-0.0210295,0.9824778,-0.04457614,0.08840339,-0.01939511
0.000978782,-0.02102158,0.9839388,0.2018508,-0.03099963,0.04156293
5.55E-05,-0.02287333,0.9965804,0.01701728,-0.1504215,0.1636273
5.50E-05,-0.02432909,0.9951116,-0.1060252,0.2081311,0.04147773
0.003421491,-0.01852755,0.9970906,-0.1059307,-0.0308831,0.1635038
2.14E-05,-0.0161578,0.9907817,0.01720416,0.148347,0.1023648
7.62E-06,-0.0200668,0.9824855,-0.04431834,-0.03104937,0.2854781
-0.00046486,-0.0156819,0.9898117,0.01729622,-0.03091659,-0.01974055
-0.00140177,-0.01659314,0.998566,0.1404503,0.08865813,0.1022858
0.001499777,-0.02190775,0.9965851,0.2019875,0.02883511,0.1021956
0.002441338,-0.01953176,0.9907594,-0.04436644,0.02872385,0.04111442
-0.001424093,-0.02100539,0.9868605,0.01724819,0.02870653,-0.1419683
-0.001395267,-0.02239816,0.9956111,0.01722651,0.2677798,0.1632235
